
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
30-0019                          Q9                               103   1      2   2   1 1           1 0 LED1_G              (2992-18-13)
30-0019                          Q9                               103   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q10                              104   1      1   1   1 3           3 0 XSIG050086          (2992-83-13)
30-0019                          Q10                              104   1      2   2   1 1           1 0 LED1_B              (2992-19-13)
30-0019                          Q10                              104   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q11                              107   1      1   1   1 3           3 0 XSIG050178          (2992-97-13)
30-0019                          Q11                              107   1      2   2   1 1           1 0 LED2_R              (2992-20-13)
30-0019                          Q11                              107   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q12                              106   1      1   1   1 3           3 0 XSIG050138          (2992-84-13)
30-0019                          Q12                              106   1      2   2   1 1           1 0 LED2_G              (2992-21-13)
30-0019                          Q12                              106   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q13                              105   1      1   1   1 3           3 0 XSIG050139          (2992-85-13)
30-0019                          Q13                              105   1      2   2   1 1           1 0 LED2_B              (2992-22-13)
30-0019                          Q13                              105   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q14                               99   1      1   1   1 3           3 0 XSIG050180          (2992-99-13)
30-0019                          Q14                               99   1      2   2   1 1           1 0 LED3_R              (2992-24-13)
30-0019                          Q14                               99   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q15                              101   1      1   1   1 3           3 0 XSIG050149          (2992-86-13)
30-0019                          Q15                              101   1      2   2   1 1           1 0 LED3_G              (2992-27-13)
30-0019                          Q15                              101   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q16                              100   1      1   1   1 3           3 0 XSIG050150          (2992-87-13)
30-0019                          Q16                              100   1      2   2   1 1           1 0 LED3_B              (2992-28-13)
30-0019                          Q16                              100   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q17                              108   1      1   1   1 3           3 0 XSIG050182          (2992-101-13)
30-0019                          Q17                              108   1      2   2   1 1           1 0 LED4_R              (2992-29-13)
30-0019                          Q17                              108   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q18                              109   1      1   1   1 3           3 0 XSIG050160          (2992-88-13)
30-0019                          Q18                              109   1      2   2   1 1           1 0 LED4_G              (2992-30-13)
30-0019                          Q18                              109   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q19                              110   1      1   1   1 3           3 0 XSIG050161          (2992-89-13)
30-0019                          Q19                              110   1      2   2   1 1           1 0 LED4_B              (2992-31-13)
30-0019                          Q19                              110   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q20                               98   1      1   1   1 3           3 0 XSIG050184          (2992-103-13)
30-0019                          Q20                               98   1      2   2   1 1           1 0 LED5_R              (2992-32-13)
30-0019                          Q20                               98   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q21                               96   1      1   1   1 3           3 0 XSIG050171          (2992-90-13)
30-0019                          Q21                               96   1      2   2   1 1           1 0 LED5_G              (2992-33-13)
30-0019                          Q21                               96   1      3   3   1 2           2 0 GND                 (2992-1-13)
30-0019                          Q22                               97   1      1   1   1 3           3 0 XSIG050172          (2992-91-13)
30-0019                          Q22                               97   1      2   2   1 1           1 0 LED5_B              (2992-34-13)
30-0019                          Q22                               97   1      3   3   1 2           2 0 GND                 (2992-1-13)
40-0208                          STM32                              1   1      1   1   1 60         60 0 GND                 (2992-1-13)
40-0208                          STM32                              1   1      2   2   1 28         28 0 LED2_R              (2992-20-13)
40-0208                          STM32                              1   1      3   3   1 56         56 0 LED_HP_R            (2992-36-13)
40-0208                          STM32                              1   1      4   4   1 49         49 0 SWDCLK              (2992-52-13)
40-0208                          STM32                              1   1      5   5   1 50         50 0 WIFI_RST            (3059-2-13)
40-0208                          STM32                              1   1      6   6   1 55         55 0 LED5_B              (2992-34-13)
40-0208                          STM32                              1   1      7   7   1 46         46 0 SWDIO               (2992-51-13)
40-0208                          STM32                              1   1      8   8   1 5           5 0 XSIG010829          (2992-41-13)
40-0208                          STM32                              1   1      9   9   1 6           6 0 XSIG010831          (2992-43-13)
40-0208                          STM32                              1   1     10  10   1 14         14 0 BT_UART_RTS         (2992-8-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0208                          STM32                              1   1     11  11   1 15         15 0 BT_UART_CTS         (2992-9-13)
40-0208                          STM32                              1   1     12  12   1 16         16 0 BT_UART_RX          (2992-10-13)
40-0208                          STM32                              1   1     13  13   1 17         17 0 BT_UART_TX          (2992-11-13)
40-0208                          STM32                              1   1     14  14   1 20         20 0 SERVO1              (2992-12-13)
40-0208                          STM32                              1   1     15  15   1 21         21 0 SERVO2              (2992-13-13)
40-0208                          STM32                              1   1     16  16   1 22         22 0 SERVO3              (2992-15-13)
40-0208                          STM32                              1   1     17  17   1 23         23 0 SERVO4              (2992-16-13)
40-0208                          STM32                              1   1     18  18   1 41         41 0 LED4_G              (2992-30-13)
40-0208                          STM32                              1   1     19  19   1 42         42 0 WIFI_RX             (2992-48-13)
40-0208                          STM32                              1   1     20  20   1 43         43 0 WIFI_TX             (2992-53-13)
40-0208                          STM32                              1   1     21  21   1 44         44 0 WIFI_RTS            (3059-3-13)
40-0208                          STM32                              1   1     22  22   1 45         45 0 WIFI_CTS            (3059-1-13)
40-0208                          STM32                              1   1     23  23   1 26         26 0 LED1_G              (2992-18-13)
